# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
69,37_76,SYSTEM,37,0.0,1
69,37_76,Role 1,76,0.05,1
70,125_88,SYSTEM,125,0.0,1
70,125_88,Role 1,88,0.05,1
71,63_7,SYSTEM,63,0.0,1
71,63_7,Role 1,7,0.57,1
72,1_43,SYSTEM,1,0.0,1
72,1_43,Role 1,43,0.09,1
73,36_93,SYSTEM,36,0.0,1
73,36_93,Role 1,93,0.04,1
74,114_78,SYSTEM,114,0.0,1
74,114_78,Role 1,78,0.05,1
75,45_68,SYSTEM,45,0.0,1
75,45_68,Role 1,68,0.06,1
76,75_9,SYSTEM,75,0.0,1
76,75_9,Role 1,9,0.44,1
77,38_34,SYSTEM,38,0.0,1
77,38_34,Role 1,34,0.12,1
78,65_91,SYSTEM,65,0.0,1
78,65_91,Role 1,91,0.04,1
79,116_51,SYSTEM,116,0.0,1
79,116_51,Role 1,51,0.08,1
80,12_17,SYSTEM,12,0.0,1
80,12_17,Role 1,17,0.23,1
81,27_43,SYSTEM,27,0.0,1
81,27_43,Role 1,43,0.09,1
82,12_16,SYSTEM,12,0.0,1
82,12_16,Role 1,16,0.25,1
83,9_37,SYSTEM,9,0.0,1
83,9_37,Role 1,37,0.11,1
84,125_6,SYSTEM,125,0.0,1
84,125_6,Role 1,6,0.68,1
85,74_102,SYSTEM,74,0.0,1
85,74_102,Role 1,102,0.04,1
86,7_84,SYSTEM,7,0.0,1
86,7_84,Role 1,84,0.05,1
87,21_12,SYSTEM,21,0.0,1
87,21_12,Role 1,12,0.34,1
88,60_9,SYSTEM,60,0.0,1
88,60_9,Role 1,9,0.44,1
89,125_93,SYSTEM,125,0.0,1
89,125_93,Role 1,93,0.04,1
90,40_86,SYSTEM,40,0.0,1
90,40_86,Role 1,86,0.05,1
91,3_21,SYSTEM,3,0.0,1
91,3_21,Role 1,21,0.19,1
92,115_74,SYSTEM,115,0.0,1
92,115_74,Role 1,74,0.05,1
93,119_40,SYSTEM,119,0.0,1
93,119_40,Role 1,40,0.1,1
94,74_12,SYSTEM,74,0.0,1
94,74_12,Role 1,12,0.32,1
95,13_47,SYSTEM,13,0.0,1
95,13_47,Role 1,47,0.09,1
96,7_70,SYSTEM,7,0.0,1
96,7_70,Role 1,70,0.06,1
97,55_34,SYSTEM,55,0.0,1
97,55_34,Role 1,34,0.12,1
98,35_52,SYSTEM,35,0.0,1
98,35_52,Role 1,52,0.08,1
99,115_41,SYSTEM,115,0.0,1
99,115_41,Role 1,41,0.1,1
100,48_53,SYSTEM,48,0.0,1
100,48_53,Role 1,53,0.07,1
