# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
42,45_34_35,Role 1,34,0.01,1
42,45_34_35,Role 2,35,0.96,1
43,44_27_37,SYSTEM,44,0.0,1
43,44_27_37,Role 1,27,0.02,1
43,44_27_37,Role 2,37,0.96,1
44,13_64_44,SYSTEM,13,0.0,1
44,13_64_44,Role 1,64,0.01,1
44,13_64_44,Role 2,44,0.95,1
45,10_58_27,SYSTEM,10,0.0,1
45,10_58_27,Role 1,58,0.01,1
45,10_58_27,Role 2,27,0.93,1
46,45_48_44,SYSTEM,45,0.0,1
46,45_48_44,Role 1,48,0.01,1
46,45_48_44,Role 2,44,0.95,1
47,41_28_37,SYSTEM,41,0.0,1
47,41_28_37,Role 1,28,0.01,1
47,41_28_37,Role 2,37,0.93,1
48,7_28_47,SYSTEM,7,0.0,1
48,7_28_47,Role 1,28,0.02,1
48,7_28_47,Role 2,47,0.92,1
49,9_24_53,SYSTEM,9,0.0,1
49,9_24_53,Role 1,24,0.02,1
49,9_24_53,Role 2,53,0.92,1
50,44_57_8,SYSTEM,44,0.0,1
50,44_57_8,Role 1,57,0.0,1
50,44_57_8,Role 2,8,0.99,1
51,42_2_61,SYSTEM,42,0.0,1
51,42_2_61,Role 1,2,0.34,1
51,42_2_61,Role 2,61,0.89,1
52,19_55_7,SYSTEM,19,0.0,1
52,19_55_7,Role 1,55,0.0,1
52,19_55_7,Role 2,7,0.99,1
53,7_60_20,SYSTEM,7,0.0,1
53,7_60_20,Role 1,60,0.0,1
53,7_60_20,Role 2,20,0.99,1
54,14_48_46,SYSTEM,14,0.0,1
54,14_48_46,Role 1,48,0.01,1
54,14_48_46,Role 2,46,0.93,1
55,5_22_58,SYSTEM,5,0.0,1
55,5_22_58,Role 1,22,0.03,1
55,5_22_58,Role 2,58,0.94,1
56,7_4_64,SYSTEM,7,0.0,1
56,7_4_64,Role 1,4,0.17,1
56,7_4_64,Role 2,64,0.92,1
57,4_14_53,SYSTEM,4,0.0,1
57,4_14_53,Role 1,14,0.04,1
57,4_14_53,Role 2,53,0.88,1
58,33_4_62,SYSTEM,33,0.0,1
58,33_4_62,Role 1,4,0.17,1
58,33_4_62,Role 2,62,0.87,1
59,45_10_18,SYSTEM,45,0.0,1
59,45_10_18,Role 1,10,0.02,1
59,45_10_18,Role 2,18,0.99,1
60,50_24_29,SYSTEM,50,0.0,1
60,50_24_29,Role 1,24,0.01,1
60,50_24_29,Role 2,29,0.98,1
61,45_28_61,SYSTEM,45,0.0,1
61,45_28_61,Role 1,28,0.02,1
61,45_28_61,Role 2,61,0.93,1
62,7_22_62,SYSTEM,7,0.0,1
62,7_22_62,Role 1,22,0.03,1
62,7_22_62,Role 2,62,0.93,1
63,50_62_46,SYSTEM,50,0.0,1
63,50_62_46,Role 1,62,0.01,1
