# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
5644,2_2_1_1_1_1_4,Role 7,4,0.05,1
5645,1_3_1_3_2_1_4,SYSTEM,1,0.0,1
5645,1_3_1_3_2_1_4,Role 1,3,0.12,1
5645,1_3_1_3_2_1_4,Role 2,1,0.15,1
5645,1_3_1_3_2_1_4,Role 3,3,0.13,1
5645,1_3_1_3_2_1_4,Role 5,2,0.05,1
5645,1_3_1_3_2_1_4,Role 6,1,0.04,1
5645,1_3_1_3_2_1_4,Role 7,4,0.05,1
5646,7_31_18_5_32_10_3,SYSTEM,7,0.0,1
5646,7_31_18_5_32_10_3,Role 1,31,0.01,1
5646,7_31_18_5_32_10_3,Role 2,18,0.01,1
5646,7_31_18_5_32_10_3,Role 3,5,0.08,1
5646,7_31_18_5_32_10_3,Role 5,32,0.0,1
5646,7_31_18_5_32_10_3,Role 6,10,0.0,1
5646,7_31_18_5_32_10_3,Role 7,3,0.06,1
5647,1_1_1_3_1_1_2,SYSTEM,1,0.0,1
5647,1_1_1_3_1_1_2,Role 1,1,0.36,1
5647,1_1_1_3_1_1_2,Role 2,1,0.14,1
5647,1_1_1_3_1_1_2,Role 3,3,0.13,1
5647,1_1_1_3_1_1_2,Role 5,1,0.09,1
5647,1_1_1_3_1_1_2,Role 6,1,0.05,1
5647,1_1_1_3_1_1_2,Role 7,2,0.11,1
5648,1_3_3_6_1_4_4,SYSTEM,1,0.0,1
5648,1_3_3_6_1_4_4,Role 1,3,0.12,1
5648,1_3_3_6_1_4_4,Role 2,3,0.05,1
5648,1_3_3_6_1_4_4,Role 3,6,0.06,1
5648,1_3_3_6_1_4_4,Role 5,1,0.09,1
5648,1_3_3_6_1_4_4,Role 6,4,0.01,1
5648,1_3_3_6_1_4_4,Role 7,4,0.04,1
5649,3_9_9_3_1_4_2,SYSTEM,3,0.0,1
5649,3_9_9_3_1_4_2,Role 1,9,0.04,1
5649,3_9_9_3_1_4_2,Role 2,9,0.02,1
5649,3_9_9_3_1_4_2,Role 3,3,0.14,1
5649,3_9_9_3_1_4_2,Role 5,1,0.1,1
5649,3_9_9_3_1_4_2,Role 6,4,0.01,1
5649,3_9_9_3_1_4_2,Role 7,2,0.09,1
5650,23_3_2_4_2_3_3,SYSTEM,23,0.0,1
5650,23_3_2_4_2_3_3,Role 1,3,0.13,1
5650,23_3_2_4_2_3_3,Role 2,2,0.08,1
5650,23_3_2_4_2_3_3,Role 3,4,0.1,1
5650,23_3_2_4_2_3_3,Role 5,2,0.05,1
5650,23_3_2_4_2_3_3,Role 6,3,0.01,1
5650,23_3_2_4_2_3_3,Role 7,3,0.06,1
5651,7_2_4_5_5_10_43,SYSTEM,7,0.0,1
5651,7_2_4_5_5_10_43,Role 1,2,0.18,1
5651,7_2_4_5_5_10_43,Role 2,4,0.04,1
5651,7_2_4_5_5_10_43,Role 3,5,0.07,1
5651,7_2_4_5_5_10_43,Role 5,5,0.02,1
5651,7_2_4_5_5_10_43,Role 6,10,0.0,1
5651,7_2_4_5_5_10_43,Role 7,43,0.0,1
5652,1_1_1_3_1_1_1,SYSTEM,1,0.0,1
5652,1_1_1_3_1_1_1,Role 1,1,0.35,1
5652,1_1_1_3_1_1_1,Role 2,1,0.15,1
5652,1_1_1_3_1_1_1,Role 3,3,0.13,1
5652,1_1_1_3_1_1_1,Role 5,1,0.09,1
5652,1_1_1_3_1_1_1,Role 6,1,0.05,1
5652,1_1_1_3_1_1_1,Role 7,1,0.19,1
5653,1_9_4_3_2_4_5,SYSTEM,1,0.0,1
5653,1_9_4_3_2_4_5,Role 1,9,0.04,1
5653,1_9_4_3_2_4_5,Role 2,4,0.04,1
5653,1_9_4_3_2_4_5,Role 3,3,0.14,1
5653,1_9_4_3_2_4_5,Role 5,2,0.05,1
5653,1_9_4_3_2_4_5,Role 6,4,0.01,1
5653,1_9_4_3_2_4_5,Role 7,5,0.04,1
5654,7_10_17_2_1_9_3,SYSTEM,7,0.0,1
5654,7_10_17_2_1_9_3,Role 1,10,0.04,1
5654,7_10_17_2_1_9_3,Role 2,17,0.01,1
5654,7_10_17_2_1_9_3,Role 3,2,0.19,1
5654,7_10_17_2_1_9_3,Role 5,1,0.09,1
5654,7_10_17_2_1_9_3,Role 6,9,0.0,1
5654,7_10_17_2_1_9_3,Role 7,3,0.06,1
5655,7_1_4_6_5_10_5,SYSTEM,7,0.0,1
5655,7_1_4_6_5_10_5,Role 1,1,0.36,1
5655,7_1_4_6_5_10_5,Role 2,4,0.04,1
5655,7_1_4_6_5_10_5,Role 3,6,0.06,1
5655,7_1_4_6_5_10_5,Role 5,5,0.02,1
5655,7_1_4_6_5_10_5,Role 6,10,0.0,1
5655,7_1_4_6_5_10_5,Role 7,5,0.04,1
5656,1_2_1_3_1_2_1,SYSTEM,1,0.0,1
5656,1_2_1_3_1_2_1,Role 1,2,0.19,1
5656,1_2_1_3_1_2_1,Role 2,1,0.16,1
5656,1_2_1_3_1_2_1,Role 3,3,0.14,1
5656,1_2_1_3_1_2_1,Role 5,1,0.1,1
5656,1_2_1_3_1_2_1,Role 6,2,0.02,1
5656,1_2_1_3_1_2_1,Role 7,1,0.25,1
5657,1_1_1_1_1_3_1,SYSTEM,1,0.0,1
5657,1_1_1_1_1_3_1,Role 1,1,0.36,1
5657,1_1_1_1_1_3_1,Role 2,1,0.15,1
5657,1_1_1_1_1_3_1,Role 3,1,0.38,1
5657,1_1_1_1_1_3_1,Role 5,1,0.09,1
5657,1_1_1_1_1_3_1,Role 6,3,0.01,1
5657,1_1_1_1_1_3_1,Role 7,1,0.19,1
5658,7_30_22_3_33_10_43,SYSTEM,7,0.0,1
5658,7_30_22_3_33_10_43,Role 1,30,0.01,1
5658,7_30_22_3_33_10_43,Role 2,22,0.01,1
5658,7_30_22_3_33_10_43,Role 3,3,0.13,1
5658,7_30_22_3_33_10_43,Role 5,33,0.0,1
5658,7_30_22_3_33_10_43,Role 6,10,0.0,1
5658,7_30_22_3_33_10_43,Role 7,43,0.0,1
5659,1_5_1_2_1_1_2,SYSTEM,1,0.0,1
5659,1_5_1_2_1_1_2,Role 1,5,0.07,1
5659,1_5_1_2_1_1_2,Role 2,1,0.18,1
5659,1_5_1_2_1_1_2,Role 3,2,0.19,1
5659,1_5_1_2_1_1_2,Role 5,1,0.09,1
5659,1_5_1_2_1_1_2,Role 6,1,0.05,1
5659,1_5_1_2_1_1_2,Role 7,2,0.09,1
5660,3_2_3_1_1_1_1,SYSTEM,3,0.0,1
5660,3_2_3_1_1_1_1,Role 1,2,0.18,1
5660,3_2_3_1_1_1_1,Role 2,3,0.05,1
5660,3_2_3_1_1_1_1,Role 3,1,0.37,1
5660,3_2_3_1_1_1_1,Role 5,1,0.09,1
5660,3_2_3_1_1_1_1,Role 6,1,0.04,1
5660,3_2_3_1_1_1_1,Role 7,1,0.22,1
5661,1_1_1_2_3_1_1,SYSTEM,1,0.0,1
5661,1_1_1_2_3_1_1,Role 1,1,0.37,1
5661,1_1_1_2_3_1_1,Role 2,1,0.15,1
5661,1_1_1_2_3_1_1,Role 3,2,0.19,1
5661,1_1_1_2_3_1_1,Role 5,3,0.03,1
5661,1_1_1_2_3_1_1,Role 6,1,0.05,1
5661,1_1_1_2_3_1_1,Role 7,1,0.2,1
5662,1_5_2_2_2_1_5,SYSTEM,1,0.0,1
5662,1_5_2_2_2_1_5,Role 1,5,0.07,1
5662,1_5_2_2_2_1_5,Role 2,2,0.07,1
5662,1_5_2_2_2_1_5,Role 3,2,0.19,1
5662,1_5_2_2_2_1_5,Role 5,2,0.05,1
5662,1_5_2_2_2_1_5,Role 6,1,0.03,1
5662,1_5_2_2_2_1_5,Role 7,5,0.04,1
5663,1_1_4_2_1_1_1,SYSTEM,1,0.0,1
5663,1_1_4_2_1_1_1,Role 1,1,0.34,1
5663,1_1_4_2_1_1_1,Role 2,4,0.04,1
5663,1_1_4_2_1_1_1,Role 3,2,0.19,1
5663,1_1_4_2_1_1_1,Role 5,1,0.09,1
5663,1_1_4_2_1_1_1,Role 6,1,0.04,1
5663,1_1_4_2_1_1_1,Role 7,1,0.23,1
5664,3_9_4_6_2_7_10,SYSTEM,3,0.0,1
5664,3_9_4_6_2_7_10,Role 1,9,0.04,1
5664,3_9_4_6_2_7_10,Role 2,4,0.03,1
5664,3_9_4_6_2_7_10,Role 3,6,0.06,1
5664,3_9_4_6_2_7_10,Role 5,2,0.04,1
5664,3_9_4_6_2_7_10,Role 6,7,0.01,1
5664,3_9_4_6_2_7_10,Role 7,10,0.02,1
5665,1_32_3_6_1_4_4,SYSTEM,1,0.0,1
5665,1_32_3_6_1_4_4,Role 1,32,0.01,1
5665,1_32_3_6_1_4_4,Role 2,3,0.05,1
5665,1_32_3_6_1_4_4,Role 3,6,0.06,1
5665,1_32_3_6_1_4_4,Role 5,1,0.09,1
5665,1_32_3_6_1_4_4,Role 6,4,0.01,1
5665,1_32_3_6_1_4_4,Role 7,4,0.05,1
5666,7_33_18_1_32_10_3,SYSTEM,7,0.0,1
5666,7_33_18_1_32_10_3,Role 1,33,0.01,1
5666,7_33_18_1_32_10_3,Role 2,18,0.01,1
5666,7_33_18_1_32_10_3,Role 3,1,0.39,1
5666,7_33_18_1_32_10_3,Role 5,32,0.0,1
5666,7_33_18_1_32_10_3,Role 6,10,0.0,1
5666,7_33_18_1_32_10_3,Role 7,3,0.06,1
5667,1_1_3_2_1_1_2,SYSTEM,1,0.0,1
5667,1_1_3_2_1_1_2,Role 1,1,0.35,1
5667,1_1_3_2_1_1_2,Role 2,3,0.05,1
5667,1_1_3_2_1_1_2,Role 3,2,0.2,1
5667,1_1_3_2_1_1_2,Role 5,1,0.09,1
5667,1_1_3_2_1_1_2,Role 6,1,0.03,1
5667,1_1_3_2_1_1_2,Role 7,2,0.09,1
5668,1_2_5_1_3_2_2,SYSTEM,1,0.0,1
5668,1_2_5_1_3_2_2,Role 1,2,0.19,1
5668,1_2_5_1_3_2_2,Role 2,5,0.03,1
5668,1_2_5_1_3_2_2,Role 3,1,0.39,1
5668,1_2_5_1_3_2_2,Role 5,3,0.03,1
5668,1_2_5_1_3_2_2,Role 6,2,0.02,1
5668,1_2_5_1_3_2_2,Role 7,2,0.09,1
5669,1_3_3_5_32_10_43,SYSTEM,1,0.0,1
5669,1_3_3_5_32_10_43,Role 1,3,0.11,1
5669,1_3_3_5_32_10_43,Role 2,3,0.04,1
5669,1_3_3_5_32_10_43,Role 3,5,0.08,1
5669,1_3_3_5_32_10_43,Role 5,32,0.0,1
5669,1_3_3_5_32_10_43,Role 6,10,0.0,1
5669,1_3_3_5_32_10_43,Role 7,43,0.0,1
5670,1_1_3_3_2_1_1,SYSTEM,1,0.0,1
5670,1_1_3_3_2_1_1,Role 1,1,0.29,1
5670,1_1_3_3_2_1_1,Role 2,3,0.05,1
5670,1_1_3_3_2_1_1,Role 3,3,0.13,1
5670,1_1_3_3_2_1_1,Role 5,2,0.05,1
5670,1_1_3_3_2_1_1,Role 6,1,0.04,1
5670,1_1_3_3_2_1_1,Role 7,1,0.21,1
5671,4_5_6_5_3_5_10,SYSTEM,4,0.0,1
5671,4_5_6_5_3_5_10,Role 1,5,0.07,1
5671,4_5_6_5_3_5_10,Role 2,6,0.03,1
5671,4_5_6_5_3_5_10,Role 3,5,0.07,1
5671,4_5_6_5_3_5_10,Role 5,3,0.03,1
5671,4_5_6_5_3_5_10,Role 6,5,0.01,1
5671,4_5_6_5_3_5_10,Role 7,10,0.02,1
5672,7_31_18_6_2_4_4,SYSTEM,7,0.0,1
5672,7_31_18_6_2_4_4,Role 1,31,0.01,1
